TYPEID,TIME,ACTIVITYID
937,63900,8
938,6000,1
938,2100,3
938,2100,4
938,4800,5
939,6000,1
939,2100,3
939,2100,4
939,4800,5
940,6000,1
940,2100,3
940,2100,4
940,4800,5
940,63900,8
941,6000,1
941,2100,3
941,2100,4
941,4800,5
941,63900,8
943,2100,3
943,2100,4
943,4800,5
944,6000,1
944,2100,3
944,2100,4
944,4800,5
944,63900,8
945,6000,1
945,2100,3
945,2100,4
945,4800,5
945,63900,8
946,6000,1
946,2100,3
946,2100,4
946,4800,5
947,6000,1
947,2100,3
947,2100,4
947,4800,5
948,2100,3
948,2100,4
948,4800,5
949,6000,1
949,2100,3
949,2100,4
949,4800,5
949,63900,8
950,6000,1
950,2100,3
950,2100,4
950,4800,5
950,63900,8
952,6000,1
952,2100,3
952,2100,4
952,4800,5
952,63900,8
953,2100,3
953,2100,4
953,4800,5
954,6000,1
954,2100,3
954,2100,4
954,4800,5
954,63900,8
955,6000,1
955,2100,3
955,2100,4
955,4800,5
955,63900,8
956,6000,1
956,2100,3
956,2100,4
956,4800,5
956,63900,8
960,6000,1
960,2100,3
960,2100,4
960,4800,5
961,6000,1
961,2100,3
961,2100,4
961,4800,5
962,6000,1
962,2100,3
962,2100,4
962,4800,5
963,6000,1
963,2100,3
963,2100,4
963,4800,5
964,6000,1
964,2100,3
964,2100,4
964,4800,5
965,6000,1
965,2100,3
965,2100,4
965,4800,5
966,6000,1
966,2100,3
966,2100,4
966,4800,5
967,6000,1
967,2100,3
967,2100,4
967,4800,5
968,12000,1
968,4200,3
968,4200,4
968,9600,5
968,128100,8
969,12000,1
969,4200,3
969,4200,4
969,9600,5
969,128100,8
970,12000,1
970,4200,3
970,4200,4
970,9600,5
970,128100,8
971,12000,1
971,4200,3
971,4200,4
971,9600,5
971,128100,8
972,12000,1
972,4200,3
972,4200,4
972,9600,5
972,128100,8
973,12000,1
973,4200,3
973,4200,4
973,9600,5
973,128100,8
974,12000,1
974,4200,3
974,4200,4
974,9600,5
974,128100,8
975,12000,1
975,4200,3
975,4200,4
975,9600,5
975,128100,8
976,12000,1
976,4200,3
976,4200,4
976,9600,5
976,128100,8
977,12000,1
977,4200,3
977,4200,4
977,9600,5
977,128100,8
978,12000,1
978,4200,3
978,4200,4
978,9600,5
978,128100,8
979,12000,1
979,4200,3
979,4200,4
979,9600,5
979,128100,8
983,12000,1
983,4200,3
983,4200,4
983,9600,5
983,128100,8
984,12000,1
984,4200,3
984,4200,4
984,9600,5
984,128100,8
985,12000,1
985,4200,3
985,4200,4
985,9600,5
985,128100,8
986,12000,1
986,4200,3
986,4200,4
986,9600,5
987,12000,1
987,4200,3
987,4200,4
987,9600,5
987,128100,8
988,12000,1
988,4200,3
988,4200,4
988,9600,5
988,128100,8
989,12000,1
989,4200,3
989,4200,4
989,9600,5
990,12000,1
990,4200,3
990,4200,4
990,9600,5
990,128100,8
991,12000,1
991,4200,3
991,4200,4
991,9600,5
992,12000,1
992,4200,3
992,4200,4
992,9600,5
994,18000,1
994,6300,3
994,6300,4
994,14400,5
994,192000,8
995,18000,1
995,6300,3
995,6300,4
995,14400,5
995,192000,8
996,18000,1
996,6300,3
996,6300,4
996,14400,5
996,192000,8
997,18000,1
997,6300,3
997,6300,4
997,14400,5
997,192000,8
998,18000,1
998,6300,3
998,6300,4
998,14400,5
998,192000,8
999,18000,1
999,6300,3
999,6300,4
999,14400,5
999,192000,8
1002,4500000,1
1002,63000,3
1002,63000,4
1002,3600000,5
1010,900,1
1010,315,3
1010,315,4
1010,720,5
1010,13800,8
1013,2340,1
1013,819,3
1013,819,4
1013,1872,5
1026,1800,1
1026,630,3
1026,630,4
1026,1440,5
1026,30900,8
1027,4680,1
1027,1638,3
1027,1638,4
1027,3744,5
1032,900,1
1032,315,3
1032,315,4
1032,720,5
1032,13800,8
1033,2340,1
1033,819,3
1033,819,4
1033,1872,5
1067,900,1
1067,315,3
1067,315,4
1067,720,5
1067,13800,8
1071,2340,1
1071,819,3
1071,819,4
1071,1872,5
1072,900,1
1072,315,3
1072,315,4
1072,720,5
1072,13800,8
1073,2340,1
1073,819,3
1073,819,4
1073,1872,5
1074,1800,1
1074,630,3
1074,630,4
1074,1440,5
1074,30900,8
1075,1800,1
1075,630,3
1075,630,4
1075,1440,5
1075,30900,8
1076,1800,1
1076,630,3
1076,630,4
1076,1440,5
1076,30900,8
1079,1800,1
1079,630,3
1079,630,4
1079,1440,5
1079,30900,8
1080,4680,1
1080,1638,3
1080,1638,4
1080,3744,5
1095,2340,1
1095,819,3
1095,819,4
1095,1872,5
1096,900,1
1096,315,3
1096,315,4
1096,720,5
1096,13800,8
1099,900,1
1099,315,3
1099,315,4
1099,720,5
1099,13800,8
1100,900,1
1100,315,3
1100,315,4
1100,720,5
1100,13800,8
1102,1800,1
1102,630,3
1102,630,4
1102,1440,5
1102,30900,8
1103,4680,1
1103,1638,3
1103,1638,4
1103,3744,5
1105,900,1
1105,315,3
1105,315,4
1105,720,5
1105,13800,8
1106,900,1
1106,315,3
1106,315,4
1106,720,5
1106,13800,8
1109,900,1
1109,315,3
1109,315,4
1109,720,5
1109,13800,8
1112,900,1
1112,315,3
1112,315,4
1112,720,5
1112,13800,8
1113,900,1
1113,315,3
1113,315,4
1113,720,5
1113,13800,8
1114,900,1
1114,315,3
1114,315,4
1114,720,5
1114,13800,8
1115,900,1
1115,315,3
1115,315,4
1115,720,5
1115,13800,8
1116,900,1
1116,315,3
1116,315,4
1116,720,5
1116,13800,8
1117,1800,1
1117,630,3
1117,630,4
1117,1440,5
1117,30900,8
1118,1800,1
1118,630,3
1118,630,4
1118,1440,5
1118,30900,8
1119,1800,1
1119,630,3
1119,630,4
1119,1440,5
1119,30900,8
1120,1800,1
1120,630,3
1120,630,4
1120,1440,5
1120,30900,8
1121,1800,1
1121,630,3
1121,630,4
1121,1440,5
1121,30900,8
1122,2700,1
1122,945,3
1122,945,4
1122,2160,5
1122,51000,8
1123,2700,1
1123,945,3
1123,945,4
1123,2160,5
1123,51000,8
1124,2700,1
1124,945,3
1124,945,4
1124,2160,5
1124,51000,8
1125,2700,1
1125,945,3
1125,945,4
1125,2160,5
1125,51000,8
1126,2700,1
1126,945,3
1126,945,4
1126,2160,5
1126,51000,8
1128,1800,1
1128,630,3
1128,630,4
1128,1440,5
1128,30900,8
1129,1800,1
1129,630,3
1129,630,4
1129,1440,5
1129,30900,8
1130,300,1
1130,105,3
1130,105,4
1130,240,5
1131,300,1
1131,105,3
1131,105,4
1131,240,5
1132,300,1
1132,105,3
1132,105,4
1132,240,5
1132,22800,8
1133,300,1
1133,105,3
1133,105,4
1133,240,5
1134,300,1
1134,105,3
1134,105,4
1134,240,5
1134,22800,8
1135,300,1
1135,105,3
1135,105,4
1135,240,5
1136,300,1
1136,105,3
1136,105,4
1136,240,5
1136,22800,8
1137,300,1
1137,105,3
1137,105,4
1137,240,5
1137,22800,8
1138,600,1
1138,210,3
1138,210,4
1138,480,5
1139,600,1
1139,210,3
1139,210,4
1139,480,5
1140,600,1
1140,210,3
1140,210,4
1140,480,5
1140,45600,8
1141,600,1
1141,210,3
1141,210,4
1141,480,5
1142,600,1
1142,210,3
1142,210,4
1142,480,5
1142,45600,8
1143,600,1
1143,210,3
1143,210,4
1143,480,5
1144,600,1
1144,210,3
1144,210,4
1144,480,5
1144,45600,8
1145,600,1
1145,210,3
1145,210,4
1145,480,5
1145,45600,8
1146,900,1
1146,315,3
1146,315,4
1146,720,5
1147,900,1
1147,315,3
1147,315,4
1147,720,5
1148,900,1
1148,315,3
1148,315,4
1148,720,5
1148,68100,8
1149,900,1
1149,315,3
1149,315,4
1149,720,5
1150,900,1
1150,315,3
1150,315,4
1150,720,5
1150,68100,8
1151,900,1
1151,315,3
1151,315,4
1151,720,5
1152,900,1
1152,315,3
1152,315,4
1152,720,5
1152,68100,8
1153,900,1
1153,315,3
1153,315,4
1153,720,5
1153,68100,8
1154,300,1
1154,105,3
1154,105,4
1154,240,5
1154,22800,8
1155,300,1
1155,105,3
1155,105,4
1155,240,5
1156,300,1
1156,105,3
1156,105,4
1156,240,5
1157,300,1
1157,105,3
1157,105,4
1157,240,5
1158,300,1
1158,105,3
1158,105,4
1158,240,5
1158,22800,8
1159,300,1
1159,105,3
1159,105,4
1159,240,5
1159,22800,8
1160,300,1
1160,105,3
1160,105,4
1160,240,5
1161,300,1
1161,105,3
1161,105,4
1161,240,5
1161,22800,8
1162,600,1
1162,210,3
1162,210,4
1162,480,5
1162,45600,8
1163,600,1
1163,210,3
1163,210,4
1163,480,5
1164,600,1
1164,210,3
1164,210,4
1164,480,5
1165,600,1
1165,210,3
1165,210,4
1165,480,5
1166,600,1
1166,210,3
1166,210,4
1166,480,5
1166,45600,8
1167,600,1
1167,210,3
1167,210,4
1167,480,5
1167,45600,8
1168,600,1
1168,210,3
1168,210,4
1168,480,5
1169,600,1
1169,210,3
1169,210,4
1169,480,5
1169,45600,8
1170,900,1
1170,315,3
1170,315,4
1170,720,5
1170,68100,8
1171,900,1
1171,315,3
1171,315,4
1171,720,5
1172,900,1
1172,315,3
1172,315,4
1172,720,5
1173,900,1
1173,315,3
1173,315,4
1173,720,5
1174,900,1
1174,315,3
1174,315,4
1174,720,5
1174,68100,8
1175,900,1
1175,315,3
1175,315,4
1175,720,5
1175,68100,8
1176,900,1
1176,315,3
1176,315,4
1176,720,5
1177,900,1
1177,315,3
1177,315,4
1177,720,5
1177,68100,8
1178,300,1
1178,105,3
1178,105,4
1178,240,5
1179,600,1
1179,210,3
1179,210,4
1179,480,5
1184,2340,1
1184,819,3
1184,819,4
1184,1872,5
1186,900,1
1186,315,3
1186,315,4
1186,720,5
1186,13800,8
1191,2340,1
1191,819,3
1191,819,4
1191,1872,5
1196,1800,1
1196,630,3
1196,630,4
1196,1440,5
1196,30900,8
1204,900,1
1204,315,3
1204,315,4
1204,720,5
1204,13800,8
1205,2340,1
1205,819,3
1205,819,4
1205,1872,5
1208,2700,1
1208,945,3
1208,945,4
1208,2160,5
1208,51000,8
1210,1800,1
1210,630,3
1210,630,4
1210,1440,5
1210,30900,8
1212,1800,1
1212,630,3
1212,630,4
1212,1440,5
1212,30900,8
1214,900,1
1214,315,3
1214,315,4
1214,720,5
1214,23700,8
1215,600,1
1215,210,3
1215,210,4
1215,480,5
1216,300,1
1216,105,3
1216,105,4
1216,240,5
1217,300,1
1217,105,3
1217,105,4
1217,240,5
1218,300,1
1218,105,3
1218,105,4
1218,240,5
1220,300,1
1220,105,3
1220,105,4
1220,240,5
1220,22800,8
1221,900,1
1221,315,3
1221,315,4
1221,720,5
1221,68100,8
1237,2340,1
1237,819,3
1237,819,4
1237,1872,5
1245,900,1
1245,315,3
1245,315,4
1245,720,5
1245,13800,8
1247,900,1
1247,315,3
1247,315,4
1247,720,5
1247,13800,8
1249,2340,1
1249,819,3
1249,819,4
1249,1872,5
1255,900,1
1255,315,3
1255,315,4
1255,720,5
1255,13800,8
1257,2340,1
1257,819,3
1257,819,4
1257,1872,5
1265,900,1
1265,315,3
1265,315,4
1265,720,5
1265,13800,8
1267,2340,1
1267,819,3
1267,819,4
1267,1872,5
1275,900,1
1275,315,3
1275,315,4
1275,720,5
1275,13800,8
1277,2340,1
1277,819,3
1277,819,4
1277,1872,5
1285,900,1
1285,315,3
1285,315,4
1285,720,5
1285,13800,8
1287,2340,1
1287,819,3
1287,819,4
1287,1872,5
1295,900,1
1295,315,3
1295,315,4
1295,720,5
1295,13800,8
1297,2340,1
1297,819,3
1297,819,4
1297,1872,5
1305,900,1
1305,315,3
1305,315,4
1305,720,5
1305,13800,8
1307,2340,1
1307,819,3
1307,819,4
1307,1872,5
1318,900,1
1318,315,3
1318,315,4
1318,720,5
1318,13800,8
1320,2340,1
1320,819,3
1320,819,4
1320,1872,5
1334,900,1
1334,315,3
1334,315,4
1334,720,5
1334,13800,8
1336,2340,1
1336,819,3
1336,819,4
1336,1872,5
1354,900,1
1354,315,3
1354,315,4
1354,720,5
1354,13800,8
1356,2340,1
1356,819,3
1356,819,4
1356,1872,5
1404,900,1
1404,315,3
1404,315,4
1404,720,5
1404,13800,8
1406,2340,1
1406,819,3
1406,819,4
1406,1872,5
1423,2340,1
1423,819,3
1423,819,4
1423,1872,5
1437,7020,1
1437,2457,3
1437,2457,4
1437,5616,5
1446,900,1
1446,315,3
1446,315,4
1446,720,5
1446,13800,8
1448,2340,1
1448,819,3
1448,819,4
1448,1872,5
1540,900,1
1540,315,3
1540,315,4
1540,720,5
1540,13800,8
1542,2340,1
1542,819,3
1542,819,4
1542,1872,5
1548,900,1
1548,315,3
1548,315,4
1548,720,5
1548,13800,8
1550,2340,1
1550,819,3
1550,819,4
1550,1872,5
1552,900,1
1552,315,3
1552,315,4
1552,720,5
1552,13800,8
1554,2340,1
1554,819,3
1554,819,4
1554,1872,5
1558,900,1
1558,315,3
1558,315,4
1558,720,5
1558,13800,8
1560,2340,1
1560,819,3
1560,819,4
1560,1872,5
1564,900,1
1564,315,3
1564,315,4
1564,720,5
1564,13800,8
1566,2340,1
1566,819,3
1566,819,4
1566,1872,5
1809,1800,1
1809,630,3
1809,630,4
1809,1440,5
1809,30900,8
1811,300,1
1811,105,3
1811,105,4
1811,240,5
1815,300,1
1815,105,3
1815,105,4
1815,240,5
1817,300,1
1817,105,3
1817,105,4
1817,240,5
1819,600,1
1819,210,3
1819,210,4
1819,480,5
1821,600,1
1821,210,3
1821,210,4
1821,480,5
1823,600,1
1823,210,3
1823,210,4
1823,480,5
1825,600,1
1825,210,3
1825,210,4
1825,480,5
1827,900,1
1827,315,3
1827,315,4
1827,720,5
1829,900,1
1829,315,3
1829,315,4
1829,720,5
1831,900,1
1831,315,3
1831,315,4
1831,720,5
1833,900,1
1833,315,3
1833,315,4
1833,720,5
1856,4680,1
1856,1638,3
1856,1638,4
1856,3744,5
1876,1800,1
1876,630,3
1876,630,4
1876,1440,5
1876,30900,8
1878,4680,1
1878,1638,3
1878,1638,4
1878,3744,5
1945,12000,1
1945,4200,3
1945,4200,4
1945,9600,5
1945,128100,8
2007,12000,1
2007,4200,3
2007,4200,4
2007,9600,5
2007,128100,8
2019,1800,1
2019,630,3
2019,630,4
2019,1440,5
2019,30900,8
2021,1800,1
2021,630,3
2021,630,4
2021,1440,5
2021,30900,8
2023,2700,1
2023,945,3
2023,945,4
2023,2160,5
2023,51000,8
2025,4680,1
2025,1638,3
2025,1638,4
2025,3744,5
2033,4680,1
2033,1638,3
2033,1638,4
2033,3744,5
2039,4680,1
2039,1638,3
2039,1638,4
2039,3744,5
2047,900,1
2047,315,3
2047,315,4
2047,720,5
2047,13800,8
2049,2340,1
2049,819,3
2049,819,4
2049,1872,5
2118,4680,1
2118,1638,3
2118,1638,4
2118,3744,5
2162,6000,1
2162,2100,3
2162,2100,4
2162,4800,5
2162,63900,8
2174,600,1
2174,210,3
2174,210,4
2174,480,5
2174,15900,8
2176,3000,1
2176,1050,3
2176,1050,4
2176,2400,5
2179,900,1
2179,315,3
2179,315,4
2179,720,5
2184,600,1
2184,210,3
2184,210,4
2184,480,5
2184,15900,8
2186,3000,1
2186,1050,3
2186,1050,4
2186,2400,5
2194,900,1
2194,315,3
2194,315,4
2194,720,5
2194,23700,8
2196,4500,1
2196,1575,3
2196,1575,4
2196,3600,5
2204,300,1
2204,105,3
2204,105,4
2204,240,5
2204,7800,8
2206,1500,1
2206,525,3
2206,525,4
2206,1200,5
2211,900,1
2211,315,3
2211,315,4
2211,720,5
2213,600,1
2213,210,3
2213,210,4
2213,480,5
2282,4680,1
2282,1638,3
2282,1638,4
2282,3744,5
2290,1800,1
2290,630,3
2290,630,4
2290,1440,5
2290,30900,8
2292,1800,1
2292,630,3
2292,630,4
2292,1440,5
2292,30900,8
2294,1800,1
2294,630,3
2294,630,4
2294,1440,5
2294,30900,8
2296,1800,1
2296,630,3
2296,630,4
2296,1440,5
2296,30900,8
2298,4680,1
2298,1638,3
2298,1638,4
2298,3744,5
2300,4680,1
2300,1638,3
2300,1638,4
2300,3744,5
2302,4680,1
2302,1638,3
2302,1638,4
2302,3744,5
2304,4680,1
2304,1638,3
2304,1638,4
2304,3744,5
2332,900,1
2332,315,3
2332,315,4
2332,720,5
2332,13800,8
2334,4680,1
2334,1638,3
2334,1638,4
2334,3744,5
2342,4680,1
2342,1638,3
2342,1638,4
2342,3744,5
2356,2340,1
2356,819,3
2356,819,4
2356,1872,5
2405,2340,1
2405,819,3
2405,819,4
2405,1872,5
2411,4680,1
2411,1638,3
2411,1638,4
2411,3744,5
2421,7020,1
2421,2457,3
2421,2457,4
2421,5616,5
2437,4500,1
2437,1575,3
2437,1575,4
2437,3600,5
2445,900,1
2445,315,3
2445,315,4
2445,720,5
2445,23700,8
2447,4500,1
2447,1575,3
2447,1575,4
2447,3600,5
2455,300,1
2455,105,3
2455,105,4
2455,240,5
2455,7800,8
2457,1500,1
2457,525,3
2457,525,4
2457,1200,5
2465,300,1
2465,105,3
2465,105,4
2465,240,5
2465,7800,8
2467,1500,1
2467,525,3
2467,525,4
2467,1200,5
2477,900,1
2477,315,3
2477,315,4
2477,720,5
2477,23700,8
2479,4500,1
2479,1575,3
2479,1575,4
2479,3600,5
2487,300,1
2487,105,3
2487,105,4
2487,240,5
2487,7800,8
2489,1500,1
2489,525,3
2489,525,4
2489,1200,5
2507,900,1
2507,315,3
2507,315,4
2507,720,5
2507,68100,8
2509,900,1
2509,315,3
2509,315,4
2509,720,5
2509,68100,8
2511,900,1
2511,315,3
2511,315,4
2511,720,5
2511,68100,8
2513,300,1
2513,105,3
2513,105,4
2513,240,5
2513,22800,8
2515,300,1
2515,105,3
2515,105,4
2515,240,5
2515,22800,8
2517,300,1
2517,105,3
2517,105,4
2517,240,5
2517,22800,8
2530,1800,1
2530,630,3
2530,630,4
2530,1440,5
2530,30900,8
2532,4680,1
2532,1638,3
2532,1638,4
2532,3744,5
2538,1800,1
2538,630,3
2538,630,4
2538,1440,5
2538,30900,8
2540,4680,1
2540,1638,3
2540,1638,4
2540,3744,5
2546,1800,1
2546,630,3
2546,630,4
2546,1440,5
2546,30900,8
2548,4680,1
2548,1638,3
2548,1638,4
2548,3744,5
2554,4680,1
2554,1638,3
2554,1638,4
2554,3744,5
2604,900,1
2604,315,3
2604,315,4
2604,720,5
2604,13800,8
2606,2340,1
2606,819,3
2606,819,4
2606,1872,5
2614,4800,1
2614,168,3
2614,168,4
2614,3840,5
2622,14400,1
2622,504,3
2622,504,4
2622,11520,5
2630,9600,1
2630,336,3
2630,336,4
2630,7680,5
2638,14400,1
2638,504,3
2638,504,4
2638,11520,5
2648,4800,1
2648,168,3
2648,168,4
2648,3840,5
2656,9600,1
2656,336,3
2656,336,4
2656,7680,5
2680,9600,1
2680,336,3
2680,336,4
2680,7680,5
2735,120000,1
2735,42000,3
2735,42000,4
2735,96000,5
2736,12000,1
2736,4200,3
2736,4200,4
2736,9600,5
2737,60000,1
2737,21000,3
2737,21000,4
2737,48000,5
2738,60000,1
2738,21000,3
2738,21000,4
2738,48000,5
2739,300,1
2739,105,3
2739,105,4
2739,240,5
2740,12000,1
2740,4200,3
2740,4200,4
2740,9600,5
2741,12000,1
2741,4200,3
2741,4200,4
2741,9600,5
2742,18000,1
2742,6300,3
2742,6300,4
2742,14400,5
2743,18000,1
2743,6300,3
2743,6300,4
2743,14400,5
2744,12000,1
2744,4200,3
2744,4200,4
2744,9600,5
2745,18000,1
2745,6300,3
2745,6300,4
2745,14400,5
2746,18000,1
2746,6300,3
2746,6300,4
2746,14400,5
2747,18000,1
2747,6300,3
2747,6300,4
2747,14400,5
2748,18000,1
2748,6300,3
2748,6300,4
2748,14400,5
2749,24000,1
2749,8400,3
2749,8400,4
2749,19200,5
2750,12000,1
2750,4200,3
2750,4200,4
2750,9600,5
2751,18000,1
2751,6300,3
2751,6300,4
2751,14400,5
2752,12000,1
2752,4200,3
2752,4200,4
2752,9600,5
2753,18000,1
2753,6300,3
2753,6300,4
2753,14400,5
2754,12000,1
2754,4200,3
2754,4200,4
2754,9600,5
2755,18000,1
2755,6300,3
2755,6300,4
2755,14400,5
2756,24000,1
2756,8400,3
2756,8400,4
2756,19200,5
2757,18000,1
2757,6300,3
2757,6300,4
2757,14400,5
2758,12000,1
2758,4200,3
2758,4200,4
2758,9600,5
2759,18000,1
2759,6300,3
2759,6300,4
2759,14400,5
2760,12000,1
2760,4200,3
2760,4200,4
2760,9600,5
2761,18000,1
2761,6300,3
2761,6300,4
2761,14400,5
2762,12000,1
2762,4200,3
2762,4200,4
2762,9600,5
2763,12000,1
2763,4200,3
2763,4200,4
2763,9600,5
2764,12000,1
2764,4200,3
2764,4200,4
2764,9600,5
2765,24000,1
2765,8400,3
2765,8400,4
2765,19200,5
2766,24000,1
2766,8400,3
2766,8400,4
2766,19200,5
2767,18000,1
2767,6300,3
2767,6300,4
2767,14400,5
2768,18000,1
2768,6300,3
2768,6300,4
2768,14400,5
2769,24000,1
2769,8400,3
2769,8400,4
2769,19200,5
2770,18000,1
2770,6300,3
2770,6300,4
2770,14400,5
2771,18000,1
2771,6300,3
2771,6300,4
2771,14400,5
2772,18000,1
2772,6300,3
2772,6300,4
2772,14400,5
2773,24000,1
2773,8400,3
2773,8400,4
2773,19200,5
2774,90000,1
2774,31500,3
2774,31500,4
2774,72000,5
2775,60000,1
2775,21000,3
2775,21000,4
2775,48000,5
2776,30000,1
2776,10500,3
2776,10500,4
2776,24000,5
2777,90000,1
2777,31500,3
2777,31500,4
2777,72000,5
2778,60000,1
2778,21000,3
2778,21000,4
2778,48000,5
2779,30000,1
2779,10500,3
2779,10500,4
2779,24000,5
2780,90000,1
2780,31500,3
2780,31500,4
2780,72000,5
2781,60000,1
2781,21000,3
2781,21000,4
2781,48000,5
2782,30000,1
2782,10500,3
2782,10500,4
2782,24000,5
2783,90000,1
2783,31500,3
2783,31500,4
2783,72000,5
2784,60000,1
2784,21000,3
2784,21000,4
2784,48000,5
2785,30000,1
2785,10500,3
2785,10500,4
2785,24000,5
2786,18000,1
2786,6300,3
2786,6300,4
2786,14400,5
2787,12000,1
2787,4200,3
2787,4200,4
2787,9600,5
2788,12000,1
2788,4200,3
2788,4200,4
2788,9600,5
2789,12000,1
2789,4200,3
2789,4200,4
2789,9600,5
2790,24000,1
2790,8400,3
2790,8400,4
2790,19200,5
2791,24000,1
2791,8400,3
2791,8400,4
2791,19200,5
2792,12000,1
2792,4200,3
